User/Vedio,Yaw,Pitch,Roll,Time(s)
,-0.0011811,-0.07191888,-1.06280644,0.06804627
Vedio-1,-0.00271584,-0.07281497,-1.06001276,0.10080014
,-0.00499902,-0.07340717,-1.05496726,0.13600787
,-0.00759958,-0.073534,-1.048002,0.16687693
,-0.0111409,-0.073534,-1.0368328,0.20259956
,-0.014305,-0.07343477,-1.0252549,0.23415228
,-0.0175705,-0.07289529,-1.0117315,0.2691496
,-0.0202928,-0.07211595,-0.9991957,0.30037589
,-0.0231844,-0.070962142,-0.9847719,0.33591689
,-0.0257809,-0.069919025,-0.9714827,0.36732392
,-0.0290095,-0.06884573,-0.956035,0.40168634
,-0.0329449,-0.06836924,-0.940228,0.43414483
,-0.038657,-0.06875038,-0.922585,0.46878976
,-0.0450264,-0.070808429,-0.907385,0.50013236
,-0.0539879,-0.07539136,-0.890196,0.53482634
,-0.0669732,-0.0824599,-0.869607,0.56978774
,-0.0855104,-0.090025,-0.844185,0.60228557
,-0.11374,-0.0955946,-0.809598,0.63592296
,-0.15102,-0.0963155,-0.76799,0.6686637
,-0.191696,-0.0913744,-0.724357,0.70012348
,-0.235531,-0.0768844,-0.678016,0.73454433
,-0.273969,-0.056173,-0.638198,0.77074478
,-0.296558,-0.0414388,-0.615304,0.80075111
,-0.309082,-0.0332759,-0.602587,0.83687858
,-0.31471,-0.0296869,-0.595621,0.86768661
,-0.318411,-0.02773,-0.587624,0.90296675
,-0.319541,-0.028691,-0.58002,0.93393816
,-0.319481,-0.0349819,-0.572165,0.96927817
,-0.319322,-0.0478623,-0.564843,1.00145299
,-0.327555,-0.0946835,-0.546216,1.03664076
,-0.40575,-0.2110272,-0.507443,1.06803157
,-1.06945,-0.6221002,-0.407244,1.10322046
,-2.63424,-1.1680802,-0.331395,1.13376848
,-5.40115,-1.7530702,-0.27543,1.16882112
,-8.29806,-2.1076102,-0.180327,1.20002602
,-11.7622,-2.3274602,0.02689,1.23567709
,-14.7812,-2.3990502,0.28709,1.26675456
,-18.1665,-2.3870202,0.64507,1.30195915
,-21.1126,-2.2901202,0.98848,1.33362166
