User/Vedio,Yaw,Pitch,Roll,Time(s)
,0.00189735,-4.3377761,1.157816458,0.13770592
Vedio-1,0.00337396,-4.33706708,1.157816458,0.16982229
,0.00487193,-4.33647775,1.157845745,0.20128663
,0.00580159,-4.33559304,1.158165535,0.23571517
,0.00598976,-4.33411629,1.158743676,0.26762056
,0.00570473,-4.33212397,1.15947042,0.30280949
,0.00491376,-4.3300912,1.15984449,0.33376778
,0.00382295,-4.3272619,1.16017072,0.36929425
,0.00303248,-4.324357,1.16060712,0.40355743
,0.00251018,-4.3218018,1.16102526,0.43404131
,0.00188333,-4.3185795,1.16125083,0.47036833
,0.00124309,-4.3158944,1.16132317,0.50162114
,0.00056475,-4.3130679,1.1613933,0.53671339
,-4.79E-05,-4.3106133,1.16153288,0.56814039
,-0.000925749,-4.3078111,1.16178718,0.6033387
,-0.00195459,-4.3053194,1.16216183,0.63481273
,-0.00331879,-4.3026146,1.16249831,0.6666728
,-0.00519323,-4.2995948,1.16251503,0.70094426
,-0.00726814,-4.2965538,1.16251503,0.7367427
,-0.00880436,-4.2940753,1.16251503,0.76813663
,-0.0102383,-4.2914436,1.16248691,0.80345667
,-0.0111609,-4.289435,1.16230771,0.83426757
,-0.0118991,-4.2873531,1.16225182,0.86968485
,-0.0122994,-4.285375,1.16225182,0.90097472
,-0.0126392,-4.2829936,1.1620982,0.93603506
,-0.0129425,-4.2809416,1.161746,0.96752907
,-0.0131641,-4.2788451,1.161024,1.00290472
,-0.0131839,-4.2768634,1.15998759,1.03637333
,-0.0131839,-4.2750027,1.158737359,1.06889483
,-0.0131839,-4.2732015,1.157237139,1.1029821
,-0.0131839,-4.2714659,1.15560895,1.1355093
,-0.0131839,-4.2698255,1.1540449,1.16728724
,-0.0131414,-4.268547,1.15280218,1.2009902
,-0.0128309,-4.2675709,1.15186718,1.23361605
,-0.0122449,-4.266432,1.15074252,1.2682262
,-0.0114962,-4.2653043,1.14934029,1.3028549
,-0.0106542,-4.2641172,1.1477801,1.33407464
,-0.00933122,-4.2625958,1.1460018,1.36953383
