User/vedio,Yaw,Pitch,Roll,Time(s)
,-0.0106659,1.214245,-2.29193189,0.63604211
Vedio-9,-0.0147244,1.2106285,-2.29193751,0.66796427
,-0.0199452,1.2066159,-2.29193751,0.70295555
,-0.0250297,1.2030876,-2.29189385,0.73399473
,-0.0309398,1.199306,-2.29158018,0.76905587
,-0.0363106,1.1961104,-2.29102204,0.80064616
,-0.0432435,1.1924567,-2.29043148,0.83629918
,-0.0527163,1.1885817,-2.28954622,0.86792597
,-0.0825895,1.1820488,-2.28684551,0.90267807
,-0.291886,1.1611095,-2.27703843,0.93408761
,-1.23831,1.100723,-2.2670424,0.96950056
,-2.59874,1.01415,-2.28275435,1.00076669
,-4.35185,0.890727,-2.3436949,1.03652035
,-5.77601,0.775891,-2.411292,1.06714471
,-7.13656,0.635872,-2.475419,1.10221753
,-7.99272,0.514283,-2.508898,1.1335994
,-8.5148,0.410139,-2.528665,1.16928948
,-8.66664,0.367308,-2.538938,1.2008176
,-8.69814,0.352375,-2.543063,1.23511181
,-8.70145,0.343999,-2.545324,1.2666733
,-8.69213,0.333302,-2.547887,1.30214927
,-8.63866,0.305735,-2.554276,1.33405547
,-8.44876,0.23645,-2.572279,1.36890107
,-8.14917,0.1491,-2.601336,1.40025759
,-7.68495,0.03748,-2.649648,1.43532328
,-7.13905,-0.07304,-2.705914,1.4700172
,-6.59357,-0.16322,-2.760945,1.50189146
,-6.04925,-0.23504,-2.814144,1.5335633
,-5.4654,-0.2914,-2.868081,1.56864525
,-4.91746,-0.32632,-2.918234,1.60340447
,-4.4581,-0.34076,-2.957796,1.63462357
,-4.00072,-0.34786,-2.993063,1.67034615
,-3.67553,-0.35733,-3.017258,1.70200543
,-3.42598,-0.37794,-3.038297,1.73698075
,-3.29479,-0.40274,-3.051245,1.76862693
,-3.21434,-0.42889,-3.061795,1.80361878
,-3.17237,-0.44979,-3.068822,1.83460152
,-3.14744,-0.46763,-3.074076,1.86974108
,-3.13588,-0.47937,-3.077044,1.90139723
,-3.12737,-0.49106,-3.079541,1.93631126
,-3.12121,-0.50144,-3.081385,1.96757141
,-3.11463,-0.51305,-3.083193,2.00347417
,-3.10854,-0.52265,-3.084512,2.0349433
,-3.10072,-0.5326,-3.08578,2.06998305
,-3.09227,-0.54083,-3.086891,2.10162722
,-3.07949,-0.54977,-3.088198,2.13661994
,-3.05821,-0.56003,-3.089596,2.16722577
,-2.99644,-0.57773,-3.093095,2.20328618
,-2.85372,-0.59703,-3.100839,2.23425409
,-2.45475,-0.61982,-3.123925,2.26997525
,-1.87057,-0.62828,-3.158311,2.30159577
,-1.0383,-0.62797,-3.204177,2.33608927
,-0.202988,-0.61788,-3.251661,2.36713843
,0.853059,-0.58881,-3.31004,2.40343291
,1.80805,-0.55539,-3.35267,2.43394723
,2.97637,-0.51128,-3.38732,2.46973083
,4.01831,-0.46085,-3.41122,2.50137699
,5.19224,-0.3782,-3.43264,2.53671524
,6.22041,-0.29178,-3.43959,2.56697069
,7.41273,-0.17493,-3.4419,2.60217182
,8.50933,-0.04769,-3.44216,2.63392718
,9.72684,0.10952,-3.44198,2.66856607
,10.8407,0.257436,-3.43862,2.70009762
,12.1188,0.421283,-3.43314,2.73539168
,13.2829,0.563708,-3.42574,2.76703413
,14.6025,0.719254,-3.41744,2.80245935
,15.8059,0.84726,-3.40982,2.83361798
,17.2013,0.970246,-3.40576,2.86845161
,18.7308,1.085659,-3.40576,2.90381297
,20.1799,1.1807514,-3.40576,2.93511475
,21.6427,1.25480787,-3.40576,2.96686555
,23.2294,1.3061154,-3.40414,3.00211086
,24.5268,1.3223866,-3.40302,3.03340492
,25.8659,1.3228839,-3.40302,3.0685379
,26.998,1.3228839,-3.40302,3.10043354
,28.2099,1.3228839,-3.40302,3.13464393
,29.5704,1.3309039,-3.40297,3.17013501
,30.8448,1.362578,-3.39755,3.20059544
,32.478,1.437269,-3.36917,3.2358684
,34.096,1.52852,-3.32006,3.26833966
,35.8592,1.647474,-3.268888,3.3026464
,37.5393,1.782107,-3.227448,3.33522857
,39.2846,1.938773,-3.194578,3.36999976
,40.7708,2.080045,-3.179907,3.40051606
,42.4553,2.243266,-3.179222,3.43689379
,43.7489,2.37403,-3.19502,3.4673796
,45.1958,2.53188,-3.238965,3.5034064
,46.4205,2.67998,-3.279866,3.53485356
,47.7552,2.863,-3.32209,3.57001221
,48.9148,3.04499,-3.35937,3.60081077
,50.3134,3.34121,-3.42528,3.63716428
,51.5959,3.75839,-3.52683,3.66742256
,53.3703,4.50733,-3.67036,3.70376152
