User/vedio,Yaw,Pitch,Roll,Time(s)
,-0.00157871,12.57815565,2.4692871,0.303818832
Vedio-10,-0.00229404,12.57928047,2.4712081,0.335132002
,-0.00268397,12.58095234,2.4746632,0.370302062
,-0.00259169,12.58275128,2.478784,0.401413672
,-0.00151212,12.58468449,2.4833142,0.436726562
,0.000306388,12.58610863,2.4870813,0.468073662
,0.00289425,12.5873294,2.4911946,0.502695452
,0.00574497,12.5881753,2.4954448,0.534765862
,0.00964767,12.5888424,2.5013043,0.569338052
,0.0144066,12.5893933,2.508028,0.600623282
,0.0211013,12.5898552,2.5157461,0.635566112
,0.0274959,12.5901988,2.5220457,0.667156692
,0.0344067,12.5907816,2.5307198,0.702748112
,0.0396171,12.5914667,2.5395791,0.734284212
,0.0445003,12.5919302,2.5496148,0.768725812
,0.0489569,12.59196,2.559839,0.804034992
,0.0526742,12.5919354,2.569158,0.835679452
,0.055971,12.5918483,2.57935,0.867343312
,0.0585714,12.5924333,2.59119,0.902201152
,0.0600799,12.5958773,2.600884,0.933974762
,0.061471,12.6036385,2.609802,0.969435032
,0.064219,12.6179801,2.618245,1.004181702
,0.0807348,12.6525087,2.632967,1.034146062
,0.349784,12.832282,2.712796,1.070471642
,1.33917,13.191836,2.877707,1.100590242
,3.72596,13.73033,3.074308,1.137133352
,6.38072,14.16081,3.140538,1.168108962
,9.8221,14.56242,3.112867,1.203178372
,13.161,14.83676,3.032458,1.234829402
,16.9089,15.03613,2.93245,1.270390332
,19.9826,15.09971,2.837775,1.301047202
,23.257,15.04853,2.726375,1.336804842
,25.8992,14.83967,2.638213,1.367711452
,29.0332,14.30846,2.5452869,1.402942512
,32.1258,13.38258,2.5039794,1.434491742
,36.0788,11.70558,2.5119486,1.470120802
,39.8694,9.87424,2.5439233,1.501873312
,44.0869,7.67638,2.587371,1.536783332
,47.7518,5.48992,2.658096,1.568476842
,51.5506,2.98181,2.707116,1.602932982
,54.7694,0.8732,2.669136,1.634219072
,57.9716,-1.1578,2.5319189,1.669652552
,60.4448,-2.7379,2.3774645,1.701024462
,62.86,-4.2962,2.165395,1.736903552
,64.6494,-5.3981,1.949355,1.767508532
,66.4775,-6.4502,1.6822,1.803555842
,67.7379,-7.154,1.487397,1.833928172
,68.8444,-7.8201,1.33604,1.869205712
,69.516,-8.304,1.243,1.900721022
,69.9951,-8.6974,1.15256,1.935907612
,70.266,-8.9273,1.09474,1.967431472
,70.4851,-9.0878,1.05968,2.002992972
,70.6646,-9.1682,1.04761,2.034036442
,70.955,-9.1941,1.04787,2.068910282
,71.2959,-9.1282,1.06012,2.100247402
,71.8405,-8.8945,1.07706,2.135759292
,72.458,-8.5581,1.08176,2.167548582
,73.1877,-8.1402,1.08182,2.202113922
,73.8712,-7.7189,1.09127,2.234209132
,74.5677,-7.2435,1.13275,2.269572472
,75.1468,-6.804,1.20279,2.301069252
,75.7771,-6.3076,1.30451,2.336080222
,76.4453,-5.8058,1.40131,2.370608212
,77.1381,-5.2862,1.464502,2.401602932
,77.9016,-4.6909,1.500818,2.433559582
