User/Vedio,Yaw,Pitch,Roll,Time(s)
,0.496623,1.12031,-5.65992,0.300677847
Vedio-11,0.594882,0.98202,-5.08908,0.336056857
,0.67677,0.84111,-4.59523,0.370264117
,0.739876,0.72043,-4.23376,0.401819047
,0.795033,0.61508,-3.94278,0.437156447
,0.828974,0.5541,-3.77518,0.468489007
,0.852391,0.51357,-3.65939,0.503633107
,0.863859,0.49129,-3.59587,0.535123327
,0.86899,0.47759,-3.55932,0.570166227
,0.86969,0.47213,-3.54611,0.601621107
,0.869168,0.46737,-3.53566,0.636293637
,0.867831,0.46425,-3.53042,0.667667817
,0.865801,0.46093,-3.5271,0.702862397
,0.863549,0.4575,-3.52589,0.734138517
,0.860392,0.45284,-3.5261,0.769996517
,0.856732,0.44863,-3.5277,0.801274057
,0.849083,0.44171,-3.53229,0.836279027
,0.816338,0.41615,-3.55113,0.866761127
,0.59236,0.25085,-3.66075,0.901999037
,0.0148965,-0.11795,-3.89672,0.933488407
,-1.21413,-0.76525,-4.29209,0.969502637
,-2.74033,-1.52002,-4.69769,1.000392147
,-4.73536,-2.52745,-5.20305,1.034573457
,-6.95488,-3.64081,-5.84826,1.070637307
,-8.83812,-4.5623,-6.49316,1.101762017
,-10.6522,-5.3806,-7.21529,1.134127207
,-12.2679,-6.03098,-7.93881,1.168613867
,-13.4282,-6.42993,-8.54146,1.200303947
,-14.3365,-6.66844,-9.12194,1.235286677
,-14.8675,-6.74645,-9.55902,1.266846167
,-15.2268,-6.73457,-9.984586,1.301265257
,-15.4446,-6.63326,-10.437369,1.333430877
,-15.6042,-6.33691,-11.202756,1.368678757
,-15.6261,-5.74527,-12.28781,1.404122217
,-15.4497,-4.96135,-13.36812,1.434746287
,-14.9194,-3.75966,-14.70344,1.470149837
,-14.1094,-2.50223,-15.9079,1.501412827
,-12.7687,-0.92329,-17.26424,1.536818667
,-11.2682,0.55125,-18.39926,1.567815367
,-9.55909,2.027701,-19.40808,1.600195957
,-7.85779,3.301485,-20.15828,1.634351907
,-6.36488,4.29053,-20.62255,1.669888597
,-5.3334,4.94631,-20.8438,1.701692717
,-4.49158,5.50384,-20.9794,1.737436387
,-3.98432,5.88101,-21.0429,1.768055047
,-3.57448,6.22564,-21.0781,1.803666727
,-3.30665,6.47125,-21.0841,1.834905787
,-3.08246,6.68447,-21.075,1.868768917
,-2.90755,6.85791,-21.0478,1.900987847
,-2.73447,7.0393,-20.9973,1.936425317
,-2.57805,7.21958,-20.92613,1.967427997
,-2.37376,7.48488,-20.79338,2.002564977
,-2.17183,7.75565,-20.63323,2.033824537
,-1.96576,8.02069,-20.44589,2.069155947
,-1.8199,8.19815,-20.28989,2.103664547
,-1.7282,8.30786,-20.16667,2.135932247
,-1.66361,8.38693,-20.04563,2.171047837
,-1.62696,8.43571,-19.93424,2.202092137
,-1.59997,8.47802,-19.78578,2.233763687
,-1.57952,8.51833,-19.55401,2.268865877
,-1.57137,8.53732,-19.25375,2.303442047
,-1.57409,8.51975,-18.95304,2.335087347
,-1.59562,8.45133,-18.64169,2.370302727
,-1.63379,8.36106,-18.36942,2.401828857
,-1.69453,8.26638,-18.07777,2.436698397
,-1.75664,8.21377,-17.83513,2.468035227
,-1.81942,8.18788,-17.60441,2.503194997
,-1.85257,8.18583,-17.47418,2.534652427
,-1.86798,8.1913,-17.39268,2.570161447
,-1.87322,8.19613,-17.34217,2.601701567
,-1.87609,8.19642,-17.28603,2.637098847
,-1.87794,8.18824,-17.2343,2.667777367
,-1.88035,8.16749,-17.16939,2.703347137
,-1.88173,8.13777,-17.10565,2.734449047
,-1.88213,8.09166,-17.02442,2.768929137
,-1.88217,8.03939,-16.93994,2.801367887
,-1.88259,7.98506,-16.85579,2.836255687
,-1.88427,7.94194,-16.79286,2.868316967
,-1.88735,7.90243,-16.74265,2.903798347
,-1.89019,7.87344,-16.7121,2.935266897
,-1.89345,7.84213,-16.68551,2.969450197
,-1.89786,7.80712,-16.6595,3.000500777
,-1.90514,7.75946,-16.62484,3.035219237
,-1.9139,7.70711,-16.58561,3.067862987
,-1.92506,7.6451,-16.53777,3.102884777
,-1.93752,7.58237,-16.48963,3.134173147
,-1.95514,7.50626,-16.43145,3.169641977
