User/Vedio,Yaw,Pitch,Roll,Time[s)
,180,18.74514,10.7738,5.371206931
,180,18.71461,10.7999,5.402593371
,180,18.61438,10.8121,5.433854371
,180,18.39971,10.7843,5.468924931
,180,18.10239,10.6798,5.504095261
,180,17.75155,10.4969,5.535602291
,180,17.34175,10.2371,5.567077681
,180,16.81437,9.8748,5.602192691
,180,16.22778,9.4413,5.636930231
,180,15.68845,9.0496,5.668291311
,180,15.06273,8.6026,5.703678611
,180,14.52227,8.2214,5.735293991
,180,13.94636,7.8619,5.769865321
,180,13.39908,7.5363,5.802343411
,180,12.82574,7.2271,5.836932981
,180,12.37262,7.0194,5.867503751
,180,11.87025,6.8244,5.904454831
,180,11.47325,6.7058,5.935181821
,180,11.05555,6.6659,5.970073611
,180,10.708329,6.6799,6.001393051
,180,10.345972,6.7305,6.036647201
,180,10.029805,6.7791,6.068344101
,180,9.656333,6.7909,6.102807961
,180,9.253372,6.7909,6.135109591
,180,8.77222,6.7909,6.170493751
,180,8.34126,6.7918,6.202094311
,180,7.86456,6.8164,6.236430421
,180,7.43516,6.8572,6.267583921
,180,6.96934,6.943,6.303392871
,180,6.64126,7.0515,6.334369901
,180,6.341,7.2061,6.369879221
,180,6.1014,7.3702,6.401299301
,180,5.84838,7.5752,6.436751871
,180,5.64119,7.7579,6.467942451
,180,5.41294,7.9714,6.503231101
,180,5.22439,8.1721,6.534769511
,180,5.02177,8.3942,6.569678131
,180,4.83115,8.5917,6.601488511
,180,4.62327,8.8008,6.636981281
,180,4.43886,8.9579,6.667475351
,180,4.19423,9.1336,6.702910831
,180,3.94289,9.2827,6.734301831
,180,3.59181,9.4322,6.769731321
,180,3.18218,9.568,6.800896531
,180,2.62837,9.742,6.835729881
,180,2.09138,9.8976,6.867386321
,180,1.45827,10.0781,6.902282381
,180,0.83856,10.2775,6.933918871
,180,0.73514,9.8936,6.968858561
,180,1.09555,9.1276,7.000319691
,180,1.52476,8.2879,7.034907281
,180,1.94649,7.5086,7.067108531
,180,2.42472,6.6827,7.101817281
,180,2.93069,5.8726,7.137148971
,180,3.40077,5.1789,7.168649741
,180,3.95564,4.4151,7.204033901
,170.098,4.46335,3.7468,7.234979001
,153.724,5.05772,2.9885,7.269492161
,138.42,5.63262,2.2611,7.302032701
,122.279,6.25146,1.4897,7.336383651
,107.591,6.83243,0.8066,7.367504091
,91.3246,7.50827,0.079,7.402132161
,76.3633,8.16036,-0.5685,7.434079681
,59.3745,8.982373,-1.3836,7.470540391
,45.3672,9.727037,-2.1514,7.500832331
,29.0426,10.620504,-3.1173,7.536469951
,17.969,11.39876,-3.7793,7.568240441
,15.1434,11.7836,-3.9294,7.602895011
,14.8404,11.88286,-3.9421,7.634676601
,14.8374,11.90745,-3.9378,7.669982341
,14.982,11.99958,-3.8778,7.701583181
,15.7752,12.28771,-3.6154,7.735923291
,17.0167,12.61118,-3.2513,7.767027761
,18.8444,12.94,-2.7543,7.803162601
,20.7001,13.19258,-2.2872,7.837744191
,22.4759,13.40656,-1.9027,7.869130911
,24.6073,13.64043,-1.484,7.904752571
,26.6007,13.83237,-1.1087,7.936329171
,28.7271,13.97903,-0.7173,7.966921891
,31.3441,14.08468,-0.2241,8.002264721
,33.7636,14.12017,0.2405,8.033448461
,36.6408,14.12384,0.7931,8.069032481
,39.5556,14.11519,1.334,8.103680501
,42.3844,14.11267,1.7943,8.134979131
,45.84,14.11992,2.2384,8.170398641
,49.2101,14.14741,2.5851,8.201993211
,52.776,14.18116,2.9044,8.233649921
,56.7715,14.21798,3.2027,8.268338141
,60.6771,14.25224,3.4325,8.303309481
,63.8324,14.26345,3.602,8.334651171
,66.7158,14.26329,3.7459,8.366719861
,69.3146,14.25222,3.8868,8.401268391
,71.5015,14.23881,3.9953,8.436194671
,73.2553,14.24183,4.0823,8.468619171
,74.884,14.28949,4.1983,8.503169981
,76.2658,14.37777,4.318,8.534600611
,77.7769,14.50838,4.4652,8.569462171
,79.192,14.63656,4.5906,8.600864851
,80.8292,14.77025,4.7122,8.636163481
,82.3928,14.87856,4.8182,8.668315711
,84.1548,14.98294,4.9136,8.702666651
,86.1512,15.09014,5.0057,8.738178811
,88.0413,15.19397,5.0857,8.769392771
,90.1655,15.32231,5.1626,8.801041231
,92.5392,15.48401,5.2439,8.835520771
,94.7219,15.63744,5.3355,8.866709071
,97.0733,15.79111,5.4552,8.902496351
,99.2583,15.91704,5.5597,8.938039301
,100.893,15.99147,5.6239,8.968838141
,102.466,16.04141,5.6691,9.003911811
,103.637,16.06615,5.6913,9.035391461
,104.6,16.06951,5.7284,9.066782471
,105.433,16.04877,5.7968,9.102284941
,106.028,16.00527,5.8709,9.133707301
,106.652,15.94176,5.9554,9.168558621
,107.338,15.87485,6.0368,9.203837871
,108.01,15.82131,6.1018,9.235323541
,108.746,15.77475,6.1573,9.266737081
,109.645,15.72567,6.2069,9.301617181
,110.668,15.65908,6.254,9.337056081
,111.67,15.57031,6.2964,9.368439101
,112.908,15.41471,6.3261,9.403038931
,114.126,15.22058,6.3332,9.434476981
,115.564,14.96834,6.3143,9.470366341
,116.722,14.75611,6.2655,9.501191151
,117.877,14.52231,6.2159,9.536173321
,118.724,14.33379,6.1877,9.566889201
,119.517,14.13532,6.1634,9.602328101
,120.111,13.9692,6.1412,9.633788401
,120.749,13.79126,6.1145,9.669210491
,121.348,13.64705,6.1004,9.700617171
,122.058,13.51781,6.0957,9.735484151
,122.701,13.4354,6.102,9.767096961
,123.364,13.37852,6.1327,9.802531581
,123.89,13.35089,6.1737,9.833980171
,124.413,13.33991,6.2359,9.869131391
,124.852,13.33911,6.31,9.900459661
,125.382,13.33911,6.4192,9.935728641
,125.927,13.33834,6.5408,9.967273311
,126.608,13.33037,6.6975,10.00239205
,127.28,13.32548,6.8454,10.03385148
,128.045,13.32604,7.0062,10.0684841
,128.854,13.34547,7.1571,10.10419044
,129.609,13.38354,7.278,10.13562136
,130.508,13.4398,7.4042,10.16963788
,131.452,13.50269,7.5234,10.20185655
,132.439,13.56847,7.6445,10.23357515
,133.595,13.64111,7.7811,10.26874436
,134.657,13.70091,7.9013,10.30016701
,135.875,13.75789,8.0358,10.33508873
,137.125,13.79892,8.1795,10.3704652
,138.226,13.82067,8.313,10.40173504
,139.475,13.82633,8.4616,10.43714714
,140.585,13.82629,8.5851,10.46866674
,141.782,13.82117,8.7047,10.50265844
,142.918,13.81322,8.8119,10.53464788
,144.179,13.80591,8.9328,10.56996817
,145.312,13.79918,9.0386,10.60122575
,146.596,13.78384,9.161,10.63663501
,147.731,13.75206,9.2737,10.66833791
,148.988,13.6955,9.3927,10.70290752
,150.156,13.627,9.5024,10.73427001
,151.472,13.53338,9.6299,10.76934512
,152.657,13.44228,9.7497,10.80099243
,153.876,13.34337,9.8862,10.8357106
,154.917,13.2531,10.009,10.86725415
,156.062,13.15987,10.1389,10.90256191
,157.078,13.08673,10.2454,10.93400794
,158.153,13.00387,10.3527,10.96892909
,159.14,12.92219,10.4478,11.00026819
,160.218,12.83493,10.5519,11.03530396
,161.307,12.7406,10.6549,11.07043808
,162.249,12.65683,10.7372,11.10160471
,163.234,12.5708,10.8104,11.13369906
,164.35,12.46493,10.8834,11.16913683
,165.469,12.35228,10.9484,11.20354822
,166.569,12.23428,10.9999,11.23569275
,167.773,12.09016,11.0474,11.27015118
,168.928,11.93668,11.0859,11.30161289
,170.296,11.73466,11.124,11.33682912
,171.52,11.53656,11.1521,11.36837521
,172.895,11.31009,11.1748,11.4037967
,174.059,11.12725,11.1976,11.4344376
,175.298,10.93904,11.2366,11.4686805
,176.312,10.776946,11.2786,11.50084072
,177.18,10.620895,11.3172,11.53613051
,177.821,10.481394,11.3492,11.57122301
,178.284,10.382598,11.3671,11.6024843
,178.721,10.312916,11.3751,11.63381486
,179.286,10.277643,11.3774,11.66870438
,179.896,10.280911,11.408,11.70017692
,180,10.324179,11.5146,11.735534
,180,10.412497,11.676,11.76707782
,180,10.572427,11.9245,11.80210503
,180,10.780613,12.2157,11.83340109
,180,11.10195,12.6187,11.86797216
,180,11.46154,13.0855,11.90024584
,180,11.87495,13.7135,11.93510626
,180,12.26179,14.4802,11.97025178
,180,12.55827,15.24,12.00167586
,180,12.83242,16.1363,12.03725131
,180,13.0133,16.9338,12.06806384
,180,13.14619,17.771,12.10041279
,180,13.19505,18.6688,12.13498354
,180,13.17542,19.513,12.16939379
,180,13.06788,20.2185,12.20157938
,180,12.84611,20.8859,12.23683238
,180,12.5273,21.375,12.2683497
,180,11.99572,21.7772,12.30382223
,180,11.39621,21.9982,12.33488308
,180,10.584981,22.1235,12.37002774
,180,9.8468993,22.1404,12.40046478
,180,8.961386,22.1118,12.43677096
,180,8.2345,22.0478,12.46837636
,180,7.51282,21.9555,12.50288782
,180,6.87237,21.858,12.53448608
,180,6.22193,21.7312,12.56976106
,180,5.69491,21.6012,12.60133368
,180,5.2382,21.4426,12.63652367
,180,4.89066,21.269,12.66770284
,180,4.45328,20.9882,12.70257009
,180,4.0418,20.6221,12.73351062
,180,3.64515,20.0981,12.76795908
,180,3.3296,19.5441,12.80029891
,180,3.10213,18.9206,12.83433796
,180,2.97005,18.3074,12.86727051
,180,2.86239,17.6868,12.90228718
