User/Vedio,Yaw,Pitch,Roll,Time(s)
,-0.00268491,-3.82598411,7.2337124,0.636966006
Vedio-2,-0.00331335,-3.82603514,7.233353,0.668571286
,-0.0040921,-3.82603593,7.2328798,0.703785096
,-0.00485081,-3.82599673,7.2323201,0.734975826
,-0.00578823,-3.82566154,7.2315482,0.770071036
,-0.00675828,-3.82513611,7.2306857,0.801728476
,-0.00798003,-3.82434347,7.229571,0.836134006
,-0.0091956,-3.82343822,7.2284242,0.868160366
,-0.0106134,-3.82237895,7.227175,0.903452576
,-0.0118834,-3.82151723,7.2259878,0.934725996
,-0.0132842,-3.82052797,7.2246285,0.969279796
,-0.014631,-3.81969992,7.2235225,1.000766186
,-0.0163354,-3.81901988,7.2224175,1.036544786
,-0.0180362,-3.81852014,7.2215699,1.067968466
,-0.0201194,-3.81792274,7.2207389,1.102317556
,-0.0221284,-3.8173157,7.2199825,1.133823606
,-0.0244122,-3.8165477,7.218913,1.168979246
,-0.0266165,-3.8157154,7.2177367,1.200654936
,-0.0292846,-3.8146233,7.2162697,1.236115906
,-0.0318652,-3.8134559,7.2148681,1.267556096
,-0.0350558,-3.8119313,7.2131341,1.302930696
,-0.0382295,-3.8104999,7.2114348,1.334100336
,-0.0421951,-3.8088511,7.2093521,1.368298326
,-0.0467769,-3.8071256,7.2070333,1.400746636
,-0.0533484,-3.8052765,7.2042005,1.436331636
,-0.0610473,-3.803989,7.20171,1.467316816
,-0.072267,-3.8029948,7.1993031,1.501946156
,-0.0851225,-3.8027134,7.197874,1.534251356
,-0.1004,-3.8027134,7.1972048,1.569255316
,-0.113965,-3.8028174,7.1970862,1.600652466
,-0.127848,-3.8033518,7.1970862,1.636161066
,-0.138229,-3.8042704,7.1970862,1.666999966
,-0.148583,-3.805601,7.1970862,1.702860656
,-0.156954,-3.8066692,7.1970862,1.733715256
,-0.166181,-3.8077041,7.1969132,1.768805616
,-0.174111,-3.8085434,7.1962832,1.800461926
,-0.183011,-3.8093457,7.195278,1.835744726
,-0.191464,-3.8099404,7.1942511,1.867080006
,-0.203132,-3.8102214,7.1926823,1.902394456
,-0.216226,-3.8102214,7.1906349,1.933422396
,-0.237477,-3.809929,7.1872326,1.968889086
,-0.291748,-3.8088418,7.1794277,2.000608396
,-0.431839,-3.8059504,7.1594455,2.034854276
,-0.768178,-3.7981444,7.110098,2.070559886
,-1.22083,-3.7823372,7.039038,2.101440986
