User/Vedio,Yaw,Pitch,Roll,Time(s)
,0.0811836,-10.5811315,5.1625205,0.300174889
Vedio-5,0.0912312,-10.564098,5.1543949,0.334685769
,0.0977956,-10.5454695,5.1463481,0.370097019
,0.0998877,-10.528345,5.1396381,0.400886159
,0.0979552,-10.505001,5.131727,0.437129609
,0.0884383,-10.477764,5.1240736,0.467694959
,0.0642017,-10.436368,5.1142175,0.500039079
,0.0142274,-10.376772,5.1005112,0.534710759
,-0.0927054,-10.282788,5.078735,0.570271969
,-0.255619,-10.167237,5.050025,0.601269819
,-0.519003,-10.00888,5.007177,0.636229179
,-0.843936,-9.839916,4.961263,0.667699729
,-1.30607,-9.63075,4.908226,0.703225309
,-1.78544,-9.44027,4.866291,0.734549019
,-2.37174,-9.23799,4.828525,0.769407169
,-2.92678,-9.07573,4.801232,0.800420689
,-3.58209,-8.91522,4.776979,0.835582169
,-4.17473,-8.79625,4.760326,0.866956619
,-4.82633,-8.69431,4.741939,0.902245269
,-5.36123,-8.63601,4.723787,0.933539039
,-5.88932,-8.60434,4.704565,0.968750149
,-6.29473,-8.59859,4.692954,1.000008019
,-6.66853,-8.60366,4.685887,1.035316349
,-6.90435,-8.62115,4.684246,1.066711919
,-7.06426,-8.64748,4.684996,1.101712619
,-7.14575,-8.67128,4.690761,1.133540119
,-7.19836,-8.69528,4.702482,1.168480369
,-7.22909,-8.71699,4.716346,1.200270509
,-7.25208,-8.74257,4.734556,1.235234709
,-7.26608,-8.77352,4.759557,1.270535329
,-7.26904,-8.81039,4.792297,1.301844219
,-7.25741,-8.85931,4.83849,1.337211279
,-7.22525,-8.91395,4.891681,1.367986469
,-7.13566,-9.00696,4.982939,1.403348109
,-6.98686,-9.11644,5.091308,1.434660429
,-6.71793,-9.26501,5.2392543,1.470253289
,-6.37725,-9.41437,5.387956,1.501768599
,-5.91053,-9.58582,5.557301,1.536269219
,-5.4323,-9.737725,5.707705,1.567872059
,-4.865,-9.897721,5.859945,1.603250509
,-4.32385,-10.033313,5.980058,1.634578789
,-3.67066,-10.178799,6.099012,1.669700359
,-3.06638,-10.302257,6.18854,1.700225799
,-2.33089,-10.442269,6.27598,1.736159079
,-1.68122,-10.5519519,6.33805,1.766993259
,-0.910448,-10.6634708,6.40056,1.802783409
,-0.228444,-10.745796,6.4502,1.834139359
,0.747733,-10.830002,6.51151,1.875585129
,1.32216,-10.866689,6.54431,1.900410504
,2.13853,-10.914176,6.58099,1.935625884
,2.83559,-10.958525,6.59992,1.966885734
,3.58605,-11.019261,6.60509,2.002232534
,4.23609,-11.085185,6.60509,2.033491824
,4.96366,-11.167672,6.60497,2.068780184
,5.67837,-11.255359,6.60488,2.103752644
,6.2938,-11.337078,6.60505,2.135438454
,6.89265,-11.422735,6.60987,2.170532954
,7.34006,-11.490978,6.61582,2.201927964
,7.76385,-11.556625,6.61808,2.236743914
,8.09139,-11.60691,6.61808,2.268149744
,8.40152,-11.65446,6.61772,2.302620994
,8.63905,-11.69264,6.61762,2.334057614
,8.85946,-11.73289,6.61762,2.369507054
,9.03007,-11.77075,6.6178,2.401208534
,9.2008,-11.81472,6.62094,2.436255124
,9.33547,-11.85255,6.62735,2.467653814
,9.46846,-11.89124,6.63661,2.502886014
,9.57271,-11.9212,6.64418,2.533529194
,9.68662,-11.95355,6.65319,2.569082714
,9.78723,-11.98229,6.66138,2.600649054
,9.89915,-12.01354,6.67001,2.635800854
,9.9975,-12.04096,6.6761,2.667265984
,10.1014,-12.071,6.68032,2.701460424
,10.1967,-12.09944,6.68228,2.733598124
,10.2968,-12.12927,6.68361,2.767972154
,10.4018,-12.15911,6.68633,2.802673774
,10.5137,-12.18872,6.69288,2.835082024
,10.6758,-12.22941,6.70777,2.870510094
,10.8748,-12.27567,6.72836,2.901790474
,11.1602,-12.33659,6.75561,2.936373504
,11.4816,-12.39963,6.78025,2.968311334
,11.902,-12.47497,6.8019,3.003395834
,12.3273,-12.54335,6.81116,3.034722114
,12.8516,-12.61529,6.81112,3.069935204
,13.3428,-12.6678,6.80182,3.101248664
,14.2278,-12.72367,6.76231,3.146962954
,14.6097,-12.74095,6.73947,3.168052332
