User/Vedio,Yaw,Pitch,Roll,Time(s)
,5.45115,1.600551,-6.41878,0.634959888
Vedio-1,5.65528,1.625661,-6.45631,0.670260248
,5.78971,1.646061,-6.47413,0.702013318
,5.90435,1.666501,-6.48713,0.736662198
,5.99499,1.683891,-6.49633,0.768298958
,6.09329,1.703971,-6.50525,0.803510048
,6.1832,1.723411,-6.51183,0.835017658
,6.28498,1.747481,-6.51578,0.870124408
,6.36824,1.768831,-6.51607,0.901561308
,6.44262,1.787821,-6.51428,0.936601348
,6.49914,1.800851,-6.51261,0.967610878
,6.56026,1.814141,-6.51246,1.003160978
,6.61378,1.824331,-6.51311,1.035013278
,6.67549,1.834321,-6.51549,1.069466578
,6.739,1.842891,-6.51751,1.100880378
,6.81465,1.853221,-6.51796,1.135250988
,6.89142,1.866031,-6.51626,1.167787548
,6.97448,1.884161,-6.50738,1.201364438
,7.08019,1.910131,-6.48879,1.237500988
,7.21525,1.940631,-6.46309,1.268810178
,7.44148,1.983981,-6.42013,1.303713078
,7.70399,2.026011,-6.36942,1.335085828
,8.06804,2.072321,-6.29947,1.370473128
,8.45151,2.106701,-6.22628,1.401638328
,8.99347,2.140571,-6.11294,1.436903318
,9.57552,2.170631,-5.9754,1.468375878
,10.3524,2.194661,-5.77969,1.503669378
,11.1326,2.212841,-5.57894,1.534432878
,12.0593,2.238711,-5.32907,1.566912128
,13.129,2.276631,-5.02594,1.601390808
,14.2397,2.320201,-4.69584,1.636889018
,15.1594,2.360201,-4.403938,1.668115808
,16.126,2.418051,-4.08117,1.702911228
,16.9403,2.483871,-3.794798,1.733804718
,18.0007,2.554241,-3.530698,1.769772488
,19.0768,2.636241,-3.395749,1.801344238
,20.2074,2.752521,-3.306703,1.835099028
,21.1469,2.868201,-3.2173,1.867380428
,22.0472,2.966371,-3.0947,1.902850988
,22.8233,3.038241,-2.97164,1.934128528
,23.8023,3.140121,-2.81438,1.969372148
,24.8056,3.254111,-2.66196,2.000682468
,26.028,3.395491,-2.47319,2.035008038
,27.2776,3.560171,-2.22264,2.070410448
,28.2821,3.703571,-1.92951,2.101983638
,29.1746,3.783501,-1.56787,2.133700808
,29.9583,3.782101,-1.14785,2.168842058
,30.3818,3.711821,-0.86159,2.200284088
,30.6415,3.590191,-0.63661,2.235194398
,30.7845,3.438601,-0.46421,2.270040578
,30.8563,3.262551,-0.32496,2.301890018
,30.8799,3.016081,-0.17545,2.333663928
,30.8516,2.694841,-0.01364,2.367787358
,30.765,2.364241,0.13406,2.403579488
,30.6461,2.070071,0.25777,2.435139008
,30.4537,1.697831,0.41149,2.470535138
,30.2317,1.324591,0.5731,2.501288358
,29.9141,0.856901,0.81856,2.536478088
,29.56,0.406755,1.09583,2.567307728
,29.1161,-0.077756,1.42426,2.603372138
,28.72,-0.4273855,1.69369,2.634705258
,28.2313,-0.760466,1.98602,2.668419558
,27.6485,-1.058411,2.27499,2.701058188
,26.8493,-1.358759,2.58056,2.735390328
,25.8614,-1.626399,2.84286,2.767591888
,24.4595,-1.889779,3.0549,2.802958948
,22.9494,-2.075299,3.13474,2.834700628
,21.2097,-2.198869,3.08257,2.868682928
,19.4124,-2.273849,2.86746,2.904855958
,17.89,-2.303249,2.55888,2.936014028
,16.3801,-2.306579,2.15322,2.967108518
,14.7043,-2.297759,1.62494,3.002613268
,13.2964,-2.276269,1.13655,3.033581488
,11.7953,-2.232289,0.57817,3.068110338
,10.3138,-2.146659,-0.00282,3.103599128
,8.99064,-2.014599,-0.53785,3.135720268
,7.50865,-1.804879,-1.17013,3.170856378
,6.24804,-1.594209,-1.74889,3.200785108
,4.73576,-1.325349,-2.51631,3.236662498
,3.41468,-1.058651,-3.274741,3.268357988
,1.99862,-0.709948,-4.2234657,3.303033668
,0.693313,-0.3709986,-5.178285,3.335040208
,-0.73323,-0.065656,-6.22481,3.370255008
,-1.97138,0.114183,-7.08922,3.401651148
,-3.32485,0.207004,-7.9506,3.436575438
,-4.53038,0.211413,-8.64468,3.467836438
,-5.83106,0.157298,-9.30893,3.503612048
,-6.9317,0.089117,-9.79325,3.534150308
,-8.25247,-0.007979,-10.26808,3.569668188
,-9.48177,-0.106907,-10.60551,3.600550288
,-11.0304,-0.225289,-10.90439,3.635838368
,-12.536,-0.3203024,-11.09922,3.667215408
,-14.3158,-0.4021972,-11.24655,3.702816238
,-15.8979,-0.4451077,-11.32485,3.734195838
,-17.5703,-0.478189,-11.3821,3.768738948
,-19.1584,-0.531059,-11.43193,3.803437998
,-20.5415,-0.588206,-11.48807,3.835894148
,-21.7651,-0.644502,-11.55224,3.867085298
,-23.0062,-0.705496,-11.63251,3.901480448
,-24.1804,-0.771281,-11.71686,3.936981508
,-25.1338,-0.833182,-11.78612,3.968298678
,-26.1217,-0.894511,-11.86311,4.002961238
,-26.9857,-0.948155,-11.93834,4.035350958
,-27.7722,-1.002577,-12.0174,4.066688638
,-28.6272,-1.066193,-12.11509,4.101607508
,-29.5257,-1.146719,-12.22119,4.136438278
,-30.4291,-1.25439,-12.3144,4.167907968
,-31.5913,-1.431469,-12.40578,4.203462048
,-32.7391,-1.636389,-12.47039,4.234102948
,-34.3356,-1.936099,-12.53156,4.270347258
,-36.1387,-2.266529,-12.57907,4.304259438
,-38.0276,-2.589649,-12.61893,4.335729128
,-40.046,-2.908669,-12.66971,4.367136388
,-42.4078,-3.250779,-12.7471,4.402445858
,-44.5393,-3.542569,-12.82666,4.433735368
,-46.8679,-3.850409,-12.93868,4.468987808
,-48.8085,-4.111719,-13.06222,4.500041538
,-50.8883,-4.413949,-13.20019,4.535402318
,-52.6425,-4.692279,-13.31684,4.567009708
,-54.5391,-5.037239,-13.42734,4.602508478
,-56.3563,-5.409009,-13.52183,4.637890078
,-57.8563,-5.730529,-13.59334,4.668467668
,-59.386,-6.052789,-13.65014,4.700043148
,-61.0743,-6.383049,-13.70047,4.735684178
,-62.5521,-6.659329,-13.73832,4.766993648
,-64.2732,-6.964359,-13.74649,4.802460768
,-65.8506,-7.234799,-13.69209,4.833855478
,-67.6849,-7.531769,-13.5028,4.867916458
,-69.8083,-7.848549,-13.10267,4.903922428
,-71.753,-8.116319,-12.60108,4.934334388
,-74.0972,-8.444349,-11.91399,4.969994528
,-76.1797,-8.770269,-11.30257,5.001699438
,-62.175,-7.947499,-10.49737,5.036613468
,-47.7628,-7.059939,-9.78081,5.068121938
,-31.4767,-6.040379,-8.99787,5.103573668
,-17.0164,-5.124619,-8.32685,5.135077858
,-0.747956,-4.087039,-7.59515,5.170266448
,13.6564,-3.164119,-6.96018,5.201626078
,29.5409,-2.147629,-6.26873,5.235963358
,44.4588,-1.198226,-5.63273,5.268293778
,60.6101,-0.179678,-4.962536,5.303056418
,75.1282,0.724871,-4.383722,5.334415198
,91.4145,1.726611,-3.770458,5.369476058
,106.164,2.624691,-3.252704,5.401110818
,122.652,3.622771,-2.70469,5.436441948
,137.149,4.500271,-2.23501,5.467433238
,153.711,5.499291,-1.70639,5.502892098
,168.461,6.382791,-1.24009,5.534461878
,180,7.371681,-0.72964,5.569673258
,180,8.275051,-0.31033,5.600421928
,180,9.384731,0.08378,5.635183998
,180,10.513571,0.31263,5.667370168
,180,11.047771,0.32238,5.702450118
,180,11.264071,0.27123,5.736656808
,180,11.326871,0.23487,5.768897988
,180,11.338071,0.22152,5.800395048
,180,11.341271,0.21218,5.835073558
,180,11.344171,0.19694,5.867187278
,180,11.354971,0.11601,5.902638438
,180,11.387171,-0.09335,5.937137638
,180,11.431271,-0.35285,5.967637978
,180,11.485471,-0.69794,6.003961548
,180,11.521271,-0.99811,6.035215988
,180,11.548771,-1.31984,6.070604698
,180,11.566571,-1.55782,6.100301898
,180,11.572371,-1.82377,6.136846438
,180,11.566371,-2.03966,6.168467228
,180,11.534671,-2.24183,6.200013608
,180,11.477971,-2.46642,6.234520788
,180,11.432971,-2.68997,6.266704098
,180,11.401571,-2.92977,6.301109788
,180,11.375371,-3.16986,6.336439778
,180,11.350171,-3.374189,6.368225088
,180,11.303171,-3.557524,6.402941518
,180,11.245971,-3.692109,6.434436298
,180,11.171371,-3.810353,6.469726098
,180,11.092271,-3.871999,6.501196358
,180,10.993871,-3.903396,6.535557858
,180,10.895771,-3.918263,6.567033248
,180,10.767371,-3.931413,6.602232378
,180,10.635071,-3.955736,6.633791018
,180,10.455971,-4.008271,6.669109888
,180,10.261971,-4.09807,6.700732968
,180,9.964371,-4.3046514,6.735881368
,180,9.566641,-4.626332,6.767302028
,180,8.944201,-5.169706,6.802534798
,180,8.342361,-5.75869,6.833553178
,180,7.715131,-6.43799,6.868667068
,180,7.251571,-6.99158,6.900096578
,180,6.851651,-7.49171,6.934533618
,180,6.521431,-7.87535,6.969980788
,180,6.278151,-8.12215,7.002280398
,180,6.060491,-8.3187,7.036883088
,180,5.885591,-8.46543,7.068158918
,180,5.677591,-8.62961,7.103690478
,180,5.467731,-8.77874,7.134184258
,180,5.195451,-8.95123,7.169593508
,180,4.957271,-9.08312,7.201631418
,180,4.761941,-9.17219,7.236164838
,180,4.656521,-9.20672,7.267476568
,180,4.604911,-9.21411,7.302702498
,180,4.584251,-9.21306,7.334914878
,180,4.571041,-9.20794,7.370047868
,180,4.555351,-9.19544,7.400618068
,180,4.503781,-9.11209,7.436251398
,180,4.430491,-8.76946,7.467079318
,180,4.494401,-7.99188,7.502578098
,180,4.725771,-7.07356,7.534185498
,180,5.069231,-5.89719,7.568566658
,180,5.367291,-4.739029,7.600403858
,180,5.608891,-3.448329,7.635630658
,180,5.734381,-2.36081,7.666671278
,180,5.838371,-1.13225,7.702523858
,180,5.930331,-0.05385,7.733396248
,180,6.047661,1.27049,7.768869658
,180,6.143291,2.54368,7.800342208
,180,6.239201,4.10967,7.835623148
,180,6.265221,5.5481,7.866871878
,180,6.233131,7.05157,7.902458738
,180,6.172761,8.19977,7.933842618
,180,6.124241,9.36557,7.969219368
,180,6.120061,10.46947,8.003567178
,180,6.118851,11.42377,8.034946208
,180,6.093171,12.42087,8.070464658
,180,6.069531,13.34317,8.102018458
,180,6.034891,14.45947,8.136898828
,180,5.983241,15.50967,8.168383628
,180,5.895381,16.70967,8.203822818
,180,5.804771,17.80287,8.235323868
,180,5.741481,19.08127,8.270176608
,180,5.723531,20.29097,8.301587558
,180,5.723391,21.69317,8.336962308
,180,5.704161,22.92077,8.368268928
,180,5.626071,24.05597,8.400144888
,180,5.487911,25.05547,8.434540598
,180,5.354921,25.74357,8.466906648
,180,5.248541,26.22037,8.501663858
,180,5.189751,26.46067,8.537016918
,180,5.164121,26.54717,8.568231438
,180,5.151741,26.57917,8.602683858
,180,5.147291,26.57997,8.634349428
,180,5.145791,26.56257,8.669891838
,180,5.146281,26.53477,8.701272018
,180,5.150041,26.48857,8.736734288
,180,5.156961,26.42857,8.768364198
,180,5.171891,26.33337,8.803231178
,180,5.194951,26.20167,8.838162588
,180,5.218311,26.06087,8.869529068
,180,5.242451,25.91027,8.901067758
,180,5.269951,25.74307,8.935749148
,180,5.296431,25.59877,8.967024398
,180,5.328321,25.47917,9.001514758
,180,5.360851,25.40077,9.033876828
,180,5.394141,25.33387,9.068486088
,180,5.421561,25.29147,9.100862108
,180,5.442471,25.26487,9.135418308
,180,5.455211,25.25187,9.166829838
,180,5.469001,25.24177,9.202623118
,180,5.483621,25.23627,9.234167508
,180,5.503401,25.23447,9.268635348
,180,5.530701,25.23547,9.304706028
,180,5.560191,25.23897,9.335758058
,180,5.598771,25.24567,9.370525818
,180,5.640921,25.25437,9.402748758
,180,5.687271,25.26467,9.433842118
,180,5.744891,25.27727,9.468488138
,180,5.802881,25.28877,9.500115778
,180,5.871601,25.29977,9.535456028
,180,5.931611,25.30547,9.567104198
,180,5.996561,25.30507,9.602446158
,180,6.048241,25.29517,9.634028748
,180,6.093961,25.26827,9.668990658
,180,6.129131,25.23457,9.700422438
,180,6.167961,25.18947,9.735095548
,180,6.205751,25.14057,9.770207438
,180,6.236931,25.09157,9.801525748
,180,6.273511,25.02097,9.837052738
,180,6.310511,24.93677,9.868314308
,180,6.358491,24.80997,9.903797388
,180,6.401521,24.67007,9.935391108
,180,6.444551,24.48067,9.969962728
,180,6.479271,24.25577,10.00133548
,180,6.515161,23.91777,10.03697652
,180,6.547681,23.51377,10.06824436
,180,6.592881,22.99167,10.10373229
,180,6.647231,22.45117,10.13527184
,180,6.714861,21.73487,10.17028849
,180,6.758911,20.99067,10.20164073
,180,6.783541,20.12147,10.23635432
,180,6.798451,19.36387,10.2670337
