User/Vedio,Yaw,Pitch,Roll,Time(s)
,-0.028968,8.564445,-15.11169699,0.303569658
Vedio-2,-0.0307203,8.5625739,-15.11317461,0.335157948
,-0.0322469,8.5604038,-15.1148118,0.367318468
,-0.0335447,8.5578299,-15.1167076,0.402395008
,-0.0341754,8.5548697,-15.118549,0.436724848
,-0.0337617,8.5516109,-15.1199788,0.467943088
,-0.0297858,8.5479385,-15.1209103,0.503557048
,-0.0172207,8.5434716,-15.1211836,0.534171728
,0.0637265,8.5269735,-15.1190496,0.570398368
,0.333607,8.4847733,-15.0973175,0.600830858
,1.04037,8.402716,-15.0194474,0.636181948
,1.86898,8.330739,-14.926588,0.667485138
,2.74124,8.264442,-14.837105,0.702690818
,3.37481,8.211218,-14.770909,0.734209548
,3.8814,8.158103,-14.708982,0.769338538
,4.21101,8.119813,-14.666008,0.800623758
,4.52277,8.084768,-14.625892,0.836672798
,4.79879,8.057124,-14.590956,0.867240978
,5.19818,8.021893,-14.541236,0.902627718
,5.64708,7.986677,-14.48535,0.933818558
,6.20282,7.946701,-14.412424,0.968729168
,6.64267,7.91106,-14.348383,1.000191148
,6.98932,7.87544,-14.288034,1.035551068
,7.15559,7.854379,-14.251426,1.067088898
,7.22612,7.842521,-14.229836,1.101707538
,7.24188,7.83771,-14.22087,1.136802888
,7.24162,7.834503,-14.213549,1.168888688
,7.19331,7.830373,-14.195781,1.200046768
,6.35131,7.825797,-14.10355,1.235254178
,4.10292,7.862156,-14.04791,1.270548518
,1.38615,7.937537,-14.05352,1.301416358
,-2.15366,8.028392,-14.08431,1.336733238
,-5.4167,8.055905,-14.08169,1.368440708
,-8.88997,8.046963,-13.99546,1.403926648
,-11.8165,8.017492,-13.86724,1.435301698
,-14.9766,7.969626,-13.6958,1.469508958
,-17.8526,7.893774,-13.54164,1.500956138
,-21.1949,7.745315,-13.41663,1.536336878
,-24.1705,7.56596,-13.34212,1.567568798
,-27.5276,7.29696,-13.28777,1.602917028
,-30.4375,7.01986,-13.25262,1.634004098
,-33.6956,6.66241,-13.21936,1.669633448
,-36.4939,6.3098,-13.18615,1.700568858
,-39.6983,5.83999,-13.13174,1.736163138
,-42.4652,5.36903,-13.0651,1.767067468
,-45.6362,4.74574,-13.00326,1.802753548
,-48.3326,4.1589,-12.98299,1.834391168
,-51.1548,3.50733,-12.97788,1.869262998
,-53.7848,2.86385,-12.98124,1.903884518
,-56.0352,2.29235,-12.98804,1.935623358
,-58.1623,1.75878,-12.98828,1.967611088
,-60.2226,1.24135,-12.99852,2.002157898
,-62.4662,0.68881,-13.06108,2.035890788
,-63.8326,0.35758,-13.12689,2.068404808
,-65.3518,0.00888,-13.22445,2.100982698
,-67.2306,-0.40358,-13.36294,2.135136058
,-69.291,-0.8086,-13.53331,2.167528348
,-71.6601,-1.21616,-13.76908,2.202800748
,-73.9876,-1.59242,-14.05133,2.237118068
,-76.1022,-1.91172,-14.330967,2.268605148
,-78.2604,-2.20332,-14.623921,2.300466288
,-80.5759,-2.46202,-14.912461,2.334648728
,-83.0714,-2.69072,-15.126607,2.370371318
,-68.6339,-2.19472,-13.86694,2.402113578
,-52.9647,-1.65652,-12.51517,2.436322838
,-39.0283,-1.17567,-11.32719,2.466877908
,-22.2491,-0.58923,-9.92075,2.503641398
,-8.12406,-0.08723,-8.76236,2.534499268
,8.01404,0.50136,-7.47138,2.569838108
,21.9159,1.03184,-6.38429,2.600325048
