User/Vedio,Yaw,Pitch,Roll,Time(s)
,1.43349,4.06508,-2.76677,0.635672995
Vedio-3,1.45376,3.65779,-2.36268,0.666912885
,1.4492,3.32005,-2.0818,0.702259955
,1.42609,3.1179,-1.9601,0.733620755
,1.37712,2.95485,-1.89543,0.768959585
,1.29265,2.81434,-1.86463,0.800244805
,1.08824,2.60778,-1.84372,0.835378075
,0.672904,2.32015,-1.82068,0.870729165
,0.0623383,2.00065,-1.79209,0.902268995
,-0.944561,1.62323,-1.74654,0.937828495
,-2.08407,1.33074,-1.70083,0.968506445
,-3.44649,1.09515,-1.67227,1.000006365
,-5.08224,0.92507,-1.66842,1.035577825
,-6.52185,0.84261,-1.67128,1.067358005
,-7.99551,0.78892,-1.67689,1.101820715
,-9.34489,0.74301,-1.68297,1.137179495
,-10.4956,0.69336,-1.69706,1.168518348
,-11.3478,0.65448,-1.71164,1.200427098
,-12.1441,0.61995,-1.73114,1.235091658
,-12.8127,0.59743,-1.75855,1.271198268
,-13.269,0.5934,-1.77678,1.301829748
,-13.6688,0.59763,-1.79814,1.336980118
,-13.9474,0.61746,-1.814,1.369024888
,-14.1864,0.65218,-1.82726,1.404274478
,-14.3701,0.69041,-1.83436,1.435524908
,-14.5654,0.73712,-1.83191,1.469709048
,-14.7405,0.77996,-1.81468,1.501510888
,-14.9341,0.82612,-1.78039,1.535887788
,-15.1304,0.87435,-1.73301,1.568300898
,-15.3582,0.93746,-1.66605,1.603001098
,-15.5954,1.01665,-1.58745,1.635151328
,-15.874,1.11773,-1.49806,1.669011898
,-16.1563,1.22018,-1.41913,1.701126788
,-16.474,1.33733,-1.33109,1.736482708
,-16.7496,1.43432,-1.24765,1.767827788
,-17.0357,1.53343,-1.15559,1.803159778
,-17.2605,1.61874,-1.0763,1.834269678
,-17.4883,1.7129,-0.99345,1.869508708
,-17.6697,1.79354,-0.92498,1.900582118
,-17.8729,1.8857,-0.84206,1.935746748
,-18.0679,1.97286,-0.75992,1.967067048
,-18.3196,2.0759,-0.65705,2.002404158
,-18.5731,2.16745,-0.56258,2.033878698
,-18.8748,2.26226,-0.46664,2.069348658
,-19.1294,2.33398,-0.40154,2.100641878
,-19.372,2.39984,-0.35185,2.135038428
,-19.5458,2.44741,-0.32422,2.166996498
,-19.6748,2.4858,-0.30718,2.201472338
,-19.7599,2.51504,-0.29225,2.237258778
