User/Vedio,Yaw,Pitch,Roll,Time(s)
,-15.6343,-0.699974,-8.106578,0.300381848
Vedio-4,-18.1108,-0.884555,-8.370076,0.335935648
,-20.4809,-1.061385,-8.591711,0.369987538
,-22.5951,-1.204485,-8.747346,0.401459798
,-24.7628,-1.332485,-8.862742,0.436808338
,-26.4389,-1.432375,-8.920781,0.468182808
,-28.0332,-1.534075,-8.974586,0.503624278
,-29.197,-1.613315,-9.014177,0.534871578
,-30.2749,-1.684305,-9.044909,0.570334428
,-31.0368,-1.722715,-9.076002,0.601968628
,-31.6835,-1.744785,-9.117441,0.636592978
,-32.1078,-1.754955,-9.156337,0.668011908
,-32.4662,-1.761105,-9.205769,0.703452228
,-32.6981,-1.768535,-9.240762,0.734900528
,-32.874,-1.779215,-9.26253,0.769442198
,-32.9821,-1.789655,-9.2721,0.800878818
,-33.0657,-1.801605,-9.27658,0.836482798
,-33.1163,-1.811005,-9.27708,0.868213648
,-33.1411,-1.817295,-9.27656,0.903076638
,-33.1513,-1.821395,-9.27489,0.934634428
,-33.1553,-1.824665,-9.27158,0.970278028
,-33.1544,-1.827315,-9.26635,1.000965098
,-33.1479,-1.829945,-9.25792,1.035940138
,-33.131,-1.833605,-9.241523,1.067394708
,-33.0879,-1.842465,-9.19981,1.103292628
,-33.0303,-1.856955,-9.136178,1.133475648
,-32.9302,-1.891855,-8.999138,1.167896148
,-32.811,-1.952835,-8.792578,1.200193228
,-32.6666,-2.066655,-8.469639,1.235775818
,-32.5165,-2.261945,-8.0087,1.270637378
,-32.3926,-2.516665,-7.475179,1.301437368
,-32.2829,-2.895525,-6.73915,1.337843638
,-32.2254,-3.253475,-6.07383,1.369378898
,-32.1949,-3.596445,-5.44123,1.400508468
,-32.1816,-3.941555,-4.78346,1.435914878
,-32.181,-4.237085,-4.18718,1.469226628
,-32.1906,-4.500045,-3.63652,1.500639018
,-32.2177,-4.769915,-3.07386,1.533340938
,-32.2674,-5.066015,-2.47403,1.568380978
,-32.3374,-5.381095,-1.85669,1.603020728
,-32.4166,-5.703535,-1.2451,1.635099388
,-32.5167,-6.102105,-0.50883,1.670700808
,-32.6083,-6.485255,0.18755,1.701350838
,-32.7094,-6.960485,1.03609,1.736854738
,-32.7887,-7.409925,1.82696,1.768317308
,-32.8569,-7.963065,2.77976,1.803723988
,-32.8909,-8.468345,3.64226,1.833700588
,-32.9025,-9.110905,4.74696,1.870132498
,-32.9016,-9.626245,5.64346,1.900801628
,-32.8953,-10.148825,6.54616,1.936851788
,-32.8899,-10.526425,7.19446,1.967827978
,-32.8887,-10.873925,7.78986,2.003292258
,-32.8896,-11.114525,8.20226,2.034371378
,-32.8985,-11.325925,8.57386,2.069386328
,-32.9152,-11.466125,8.83136,2.100468568
,-32.9445,-11.586425,9.06206,2.136337678
,-32.9766,-11.663925,9.21816,2.167799098
,-33.0168,-11.729525,9.35916,2.202122678
,-33.0563,-11.777325,9.47026,2.233826438
,-33.0932,-11.819225,9.56936,2.269793348
,-33.1048,-11.847325,9.62406,2.300224408
,-33.0781,-11.886825,9.66376,2.335484258
,-32.6674,-12.098125,9.74086,2.366696218
,-30.8569,-12.734725,9.83326,2.402699628
,-28.3745,-13.460225,9.85976,2.434220078
,-25.1289,-14.295425,9.82466,2.469224778
,-22.1804,-14.965425,9.72036,2.500104598
,-18.9145,-15.626025,9.56156,2.535393828
,-15.9692,-16.182425,9.40166,2.570182128
,-13.7308,-16.603325,9.27286,2.600774268
,-11.7165,-16.983825,9.15396,2.633639258
,-9.99464,-17.301425,9.04916,2.668077728
,-8.53437,-17.549625,8.98986,2.703773788
,-7.50407,-17.705625,8.98206,2.735224368
,-6.62306,-17.829725,8.99106,2.769996418
,-5.9957,-17.916025,9.00976,2.801760608
,-5.42637,-17.995325,9.02846,2.836333078
,-4.95142,-18.064925,9.04356,2.868517808
,-4.51021,-18.132525,9.05556,2.900093858
,-4.05045,-18.204425,9.06756,2.934130908
,-3.57121,-18.276725,9.08336,2.970503818
,-3.14713,-18.334025,9.09536,3.002143138
,-2.61681,-18.388625,9.10536,3.036565088
,-1.9591,-18.422325,9.11706,3.067077978
,-0.818137,-18.424525,9.17646,3.102454148
,0.567462,-18.395425,9.27376,3.134926828
,2.31932,-18.360725,9.39366,3.170459528
,3.89789,-18.351725,9.48036,3.201962858
,5.45984,-18.354825,9.54216,3.236913368
,6.56704,-18.376625,9.55816,3.268246798
,7.43608,-18.418725,9.55436,3.303837078
,7.86671,-18.458825,9.53846,3.335157378
,8.10101,-18.496225,9.51856,3.369550788
,8.18117,-18.516525,9.50696,3.401266518
,8.20841,-18.527625,9.49946,3.436392658
,8.21302,-18.532825,9.49256,3.467803608
,8.20509,-18.538225,9.47106,3.503213998
,8.11735,-18.537425,9.36876,3.534762668
,7.73586,-18.473125,9.03556,3.569414118
,7.14267,-18.317625,8.60176,3.600127148
,6.28012,-18.029025,8.03676,3.636536538
,5.54686,-17.721825,7.55296,3.667862838
,4.83086,-17.332325,7.03186,3.703285208
,4.32883,-16.962525,6.60216,3.734412198
,3.91408,-16.545225,6.16306,3.769408908
,3.65601,-16.188425,5.80946,3.801126648
