User/Vedio,Yaw,Pitch,Roll,Time(s)
,-4.39539,-0.591339,-22.658743,0.303001132
Vedio-8,-5.46211,-0.902609,-22.547851,0.335610392
,-6.50672,-1.214079,-22.448532,0.367070102
,-7.64193,-1.553019,-22.33354,0.401917982
,-8.74778,-1.875059,-22.20584,0.437074632
,-9.68495,-2.145189,-22.08893,0.468497872
,-10.6472,-2.428549,-21.97514,0.502997632
,-11.4527,-2.678769,-21.90134,0.534776392
,-12.263,-2.940059,-21.86175,0.569914802
,-12.9357,-3.157069,-21.85531,0.601552132
,-13.618,-3.367839,-21.85792,0.636289132
,-14.1869,-3.532449,-21.86138,0.667738572
,-14.7661,-3.694989,-21.86153,0.702835062
,-15.2276,-3.822049,-21.85835,0.734149382
,-15.7064,-3.950729,-21.84788,0.769682082
,-16.0858,-4.049139,-21.83802,0.801194262
,-16.4581,-4.139709,-21.83218,0.835861382
,-16.7531,-4.205009,-21.83207,0.867320812
,-17.0213,-4.258809,-21.83989,0.902594652
,-17.2094,-4.294369,-21.85707,0.934554432
,-17.3684,-4.323729,-21.88279,0.969123492
,-17.4733,-4.343759,-21.90983,1.000595742
,-17.5495,-4.359689,-21.94113,1.036372222
,-17.5822,-4.367739,-21.96573,1.066861732
,-17.5918,-4.374029,-21.9959,1.101818802
,-17.5623,-4.385379,-22.06991,1.138238452
,-17.3681,-4.407129,-22.2771,1.169326392
,-16.8964,-4.432599,-22.646014,1.200278342
,-16.1444,-4.457989,-23.117607,1.234709402
,-15.3989,-4.483999,-23.517475,1.267134472
,-14.7776,-4.509529,-23.837426,1.301386202
,-14.4465,-4.527749,-24.032362,1.334108062
,-14.3096,-4.540249,-24.144557,1.367809822
,-14.2713,-4.548449,-24.200874,1.400155642
,-14.2621,-4.558159,-24.246452,1.434895192
,-14.268,-4.568189,-24.274391,1.469338782
,-14.2902,-4.585899,-24.295733,1.502175532
,-14.3525,-4.628319,-24.318903,1.533721622
,-14.5434,-4.737819,-24.347283,1.568255612
,-14.9231,-4.915229,-24.358141,1.603593582
,-15.4063,-5.107139,-24.350756,1.635130542
,-16.0737,-5.347119,-24.318085,1.670325392
,-16.7392,-5.580769,-24.274008,1.700910132
,-17.5961,-5.884839,-24.216608,1.736709682
,-18.4302,-6.176329,-24.167996,1.768418292
,-19.3939,-6.485729,-24.103836,1.803711222
,-20.2263,-6.711299,-24.013082,1.834740712
,-21.1574,-6.909809,-23.842337,1.869901352
,-22.0162,-7.048629,-23.608723,1.901231612
,-23.0312,-7.178819,-23.261247,1.936305282
,-24.0104,-7.289719,-22.899503,1.967350742
,-25.2485,-7.426499,-22.476942,2.002955282
,-26.3746,-7.554469,-22.15433,2.033735302
,-27.7284,-7.715979,-21.84145,2.069002282
,-28.976,-7.867859,-21.59799,2.100469682
,-30.4121,-8.039139,-21.32483,2.135594672
,-31.7037,-8.177119,-21.05218,2.167206632
,-33.1109,-8.298929,-20.69806,2.202569402
,-34.4319,-8.386099,-20.29654,2.237229702
,-35.5717,-8.443249,-19.89799,2.268015722
,-36.8173,-8.486209,-19.41718,2.303672152
,-37.8498,-8.501809,-18.98986,2.334832222
,-38.9179,-8.501249,-18.51841,2.370235192
,-39.7469,-8.481249,-18.11636,2.401697472
,-40.5425,-8.431979,-17.67615,2.437162022
,-41.1398,-8.364379,-17.28422,2.468460092
,-41.6991,-8.268279,-16.83709,2.503108972
,-42.1215,-8.161649,-16.41222,2.534557272
,-42.4806,-8.025629,-15.93965,2.569343282
,-42.7023,-7.887379,-15.51586,2.600934432
,-42.8293,-7.712639,-15.03621,2.636481392
,-42.8238,-7.533069,-14.59538,2.668107312
,-42.6353,-7.332519,-14.15303,2.702738812
,-42.0514,-7.088589,-13.65543,2.733973012
,-40.2031,-6.700439,-12.9686,2.769346622
,-36.7151,-6.282309,-12.4261,2.800797212
,-30.5987,-5.892999,-12.0893,2.836108382
,-23.0881,-5.597459,-12.1176,2.871452922
,-16.4049,-5.301689,-12.4194,2.902644642
,-9.30361,-4.876549,-12.9781,2.937842902
,-3.52249,-4.462759,-13.60058,2.969317742
,1.98463,-4.003939,-14.31738,3.004430212
,6.09473,-3.609819,-14.93045,3.035871962
,9.3793,-3.264679,-15.4409,3.066714702
,12.4292,-2.914189,-15.86811,3.102831292
,14.6937,-2.633029,-16.12586,3.137977952
,16.2618,-2.431789,-16.26216,3.168473732
,17.7236,-2.273319,-16.34883,3.200681272
,9.36547,-2.394209,-15.57864,3.236054032
,-6.55015,-2.690339,-14.18414,3.270616522
,-21.2489,-2.958469,-12.9107,3.302365912
,-35.8295,-3.219549,-11.6599,3.333858412
,-51.7499,-3.498569,-10.3019,3.368236712
,-68.1395,-3.783429,-8.903,3.403659942
,-82.7263,-4.043089,-7.6512,3.435139052
,-97.2591,-4.311849,-6.3982,3.466706252
,-113.56,-4.628029,-4.9891,3.501996052
,-128.094,-4.923279,-3.7322,3.533536162
,-144.094,-5.260939,-2.3498,3.568134852
,-160.362,-5.616589,-0.9458,3.603447442
,-174.877,-5.944499,0.3084,3.635009522
,-180,-6.326699,1.7205,3.670423882
,-180,-6.685929,2.997,3.702156732
,-180,-7.104989,4.4326,3.737463062
,-180,-7.502749,5.7309,3.768781372
,-180,-7.977509,7.1981,3.803542022
,-180,-8.427569,8.5762,3.834947562
,-180,-8.929189,10.2058,3.869479812
,-180,-9.316599,11.5928,3.901167032
,-180,-9.473249,12.2343,3.936386102
,-180,-9.546849,12.5415,3.967754292
,-180,-9.598349,12.7076,4.002944012
,-180,-9.630049,12.776,4.034009712
,-180,-9.660249,12.8157,4.069841202
,-180,-9.683349,12.8376,4.101051452
,-180,-9.705349,12.8589,4.136607252
,-180,-9.718549,12.8775,4.168050432
,-180,-9.725549,12.8975,4.201884492
,-180,-9.727249,12.9148,4.234304722
,-180,-9.726949,12.9301,4.269814052
,-180,-9.725849,12.9395,4.301235282
,-180,-9.724549,12.9472,4.336010752
,-180,-9.723849,12.9516,4.367284012
,-180,-9.723449,12.9534,4.402678162
,-180,-9.723449,12.9536,4.433475022
,-180,-9.723649,12.953,4.468297522
,-180,-9.724149,12.9521,4.504950092
,-180,-9.724949,12.952,4.535199522
,-180,-9.727449,12.952,4.566742482
,-180,-9.732249,12.9521,4.601963562
,-180,-9.738449,12.9521,4.633346582
,-180,-9.749749,12.9507,4.668741002
,-180,-9.769249,12.9365,4.703961232
,-180,-9.787549,12.9001,4.734778322
,-180,-9.794849,12.7945,4.770173322
,-180,-9.794449,12.6202,4.801526972
,-180,-9.793149,12.32,4.837696592
,-180,-9.812749,11.9745,4.869174822
,-180,-9.904349,11.5406,4.904102242
,-180,-10.055449,11.1677,4.935190472
,-180,-10.292649,10.8006,4.970249622
,-180,-10.537749,10.5064,5.002158372
,-180,-10.777449,10.2259,5.033760922
,-180,-11.013349,9.9018,5.068374742
,-180,-11.205649,9.5572,5.103451572
,-180,-11.336849,9.2661,5.134191382
,-180,-11.453349,8.9923,5.166724222
,-180,-11.564049,8.7498,5.202327332
,-180,-11.650649,8.5704,5.237727182
,-180,-11.702449,8.4633,5.268093242
,-180,-11.747349,8.3843,5.304334982
,-180,-11.787049,8.3513,5.335036322
,-180,-11.839849,8.3438,5.367254702
,-180,-11.914549,8.3455,5.401519272
,-180,-12.021949,8.3476,5.436809622
,-180,-12.138549,8.3438,5.468118802
,-180,-12.288749,8.3062,5.503529772
,-180,-12.437449,8.2408,5.534925332
,-180,-12.627749,8.1532,5.570116472
,-180,-12.818549,8.0815,5.601363502
,-180,-13.047849,8.0231,5.636619082
,-180,-13.246149,7.991,5.668026612
,-180,-13.449749,7.9621,5.702482762
,-180,-13.623149,7.9223,5.734899862
,-180,-13.800749,7.8576,5.770438852
,-180,-13.950849,7.7877,5.800355872
,-180,-14.155049,7.696,5.836587372
,-180,-14.359249,7.6172,5.867294702
,-180,-14.618649,7.5094,5.902386352
,-180,-14.865249,7.3934,5.934643212
,-180,-15.114349,7.2671,5.969952402
,-180,-15.312749,7.1616,6.001324292
,-180,-15.508149,7.0527,6.035128992
,-180,-15.689749,6.9397,6.067503042
,-180,-15.889649,6.7984,6.102788852
,-180,-16.074149,6.6442,6.134032182
,-180,-16.318149,6.3869,6.168932812
,-180,-16.612549,6.0009,6.204496312
,-180,-16.872449,5.602,6.235112122
,-180,-17.122649,5.1641,6.266836702
,-180,-17.362849,4.6703,6.301282302
,-180,-17.580249,4.1576,6.337323902
,-180,-17.743649,3.7549,6.368344852
,-180,-17.904749,3.3524,6.403882392
,-180,-18.019249,3.0416,6.435617802
,-180,-18.104149,2.7483,6.467090622
,-180,-18.159649,2.4247,6.501320962
,-180,-18.172649,2.0981,6.536615602
,-180,-18.163949,1.8289,6.568148022
,-180,-18.126749,1.5595,6.602558552
,-180,-18.071449,1.3313,6.634978492
,-180,-17.994949,1.1061,6.670159372
,-180,-17.916849,0.9305,6.701640472
