User/vedio,Yaw,Pitch,Roll,Time(s)
,-0.0119313,4.98628206,6.8408043,0.300317212
Vedio-7,-0.014719,4.98451261,6.8452315,0.336121032
,-0.0176114,4.9825235,6.8497949,0.370946952
,-0.0204568,4.9804232,6.8542934,0.402484192
,-0.0236262,4.9781039,6.8594088,0.433371712
,-0.0279084,4.9752805,6.8666406,0.468552032
,-0.0325634,4.9721335,6.8746826,0.503095132
,-0.0368524,4.9688696,6.8821028,0.534652362
,-0.0415637,4.9648378,6.8903298,0.569042942
,-0.0459819,4.9609753,6.89795,0.601036092
,-0.0507717,4.9565251,6.9058796,0.635273562
,-0.0551789,4.9518321,6.9128279,0.667616232
,-0.0597856,4.9461446,6.9203332,0.702882642
,-0.0635763,4.9409649,6.9273454,0.734439582
,-0.0673608,4.935169,6.935317,0.770036442
,-0.0701049,4.9301987,6.941854,0.800793392
,-0.0726833,4.9254219,6.948865,0.835552892
,-0.0749355,4.9217589,6.955198,0.867011172
,-0.0777559,4.9181146,6.962851,0.902260192
,-0.0806705,4.9151939,6.971155,0.934183212
,-0.0837781,4.9125704,6.982106,0.969006002
,-0.0862567,4.910659,6.995444,1.004124442
,-0.0875444,4.909526,7.009244,1.035894352
,-0.0878781,4.9088741,7.024122,1.067025062
,-0.0878648,4.9084119,7.041041,1.102082212
,-0.0874522,4.9083123,7.05749,1.137204652
,-0.0868875,4.9083396,7.071563,1.168538342
,-0.0862384,4.9094901,7.085467,1.203484882
,-0.0857096,4.9112624,7.095886,1.234775822
,-0.0852295,4.9133836,7.106098,1.270567962
,-0.0848835,4.9152935,7.11405,1.300766092
,-0.0844289,4.917584,7.122442,1.333861162
,-0.0837509,4.9199811,7.13095,1.368489502
,-0.082769,4.9224088,7.139071,1.403640152
,-0.0817179,4.9248955,7.1458,1.434620312
,-0.0803856,4.927817,7.153325,1.470515392
,-0.0791882,4.9304035,7.159489,1.501026262
,-0.0777066,4.9336948,7.166588,1.536674712
,-0.0762676,4.9369501,7.172916,1.568312032
,-0.0744072,4.941014,7.180403,1.603682802
,-0.0726066,4.9445578,7.187053,1.634280642
,-0.0703515,4.948232,7.194872,1.669801652
,-0.0682376,4.9511894,7.202111,1.701294722
,-0.0656917,4.9543205,7.21134,1.736380672
