User/Vedio,Yaw,Pitch,Roll,Time(s)
,2.99385,5.81783,-3.64026,0.30072769
Vedio-4,2.98752,5.38932,-3.32577,0.33594277
,2.99146,5.09566,-3.11225,0.36741845
,3.01709,4.83117,-2.91531,0.40272934
,3.06113,4.6224,-2.73958,0.43715242
,3.10858,4.46517,-2.58353,0.4676385
,3.17016,4.29086,-2.38469,0.50415453
,3.22293,4.15028,-2.21137,0.53570321
,3.27122,4.02651,-2.05645,0.56697503
,3.32209,3.90313,-1.90434,0.60203875
,3.36939,3.80444,-1.78382,0.63608805
,3.41785,3.72439,-1.68589,0.66851797
,3.48281,3.63982,-1.5802,0.70225794
,3.57434,3.54584,-1.45585,0.73483041
,3.72188,3.43473,-1.29528,0.76996968
,3.92362,3.33718,-1.1291,0.80146247
,4.29614,3.23675,-0.89822,0.83616895
,4.85661,3.15373,-0.6273,0.86764206
,5.78606,3.06683,-0.26243,0.90325885
,6.82865,2.98384,0.10559,0.9349609
,8.16034,2.85465,0.55079,0.96995875
,9.59614,2.6763,0.98048,1.00070712
,11.9301,2.41912,1.5739,1.03633532
,14.9711,2.19207,2.22462,1.06774287
,19.5306,1.97416,3.09324,1.10266003
,24.2739,1.87372,3.92554,1.13374968
,29.9157,1.85472,4.76114,1.16910418
,34.9424,1.85472,5.30184,1.20064828
,40.5724,1.85472,5.66004,1.23603671
,45.5801,1.88777,5.86334,1.26762929
,51.1096,1.98782,6.10514,1.30308271
,55.5081,2.06269,6.41364,1.3335631
,60.0374,2.13819,6.85994,1.36881011
,63.9808,2.14978,7.24974,1.40381111
,66.9302,2.09058,7.45314,1.43584731
,69.2696,1.98514,7.50154,1.46719813
,71.3637,1.88977,7.44404,1.50270489
,73.0427,1.88388,7.38144,1.53709773
,74.3378,1.93737,7.28854,1.56914618
,75.4155,1.9976,7.13334,1.60041602
,76.4666,2.03169,6.92694,1.63551394
,77.3431,2.01642,6.74924,1.67057478
,77.9426,1.95459,6.64754,1.70199344
,78.4053,1.86101,6.57954,1.7335022
,78.8136,1.7331,6.54674,1.76886641
,79.1149,1.59517,6.55624,1.8024929
,79.3437,1.441,6.59544,1.83512098
,79.6042,1.17836,6.68614,1.86969117
,79.9319,0.77606,6.81404,1.90216385
,80.3699,0.22529,6.97934,1.93572021
,80.9428,-0.39139,7.13864,1.96818121
,81.8425,-1.0872,7.26784,2.00380598
,82.9139,-1.61653,7.36734,2.03497775
