User/Vedio,Yaw,Pitch,Roll,Time(s)
,-18.6911,17.135833,-16.63802,0.302919255
Vedio-6,-22.334,16.64731,-17.2513,0.335407895
,-26.073,16.13561,-17.83867,0.370266605
,-29.1051,15.72256,-18.27898,0.401040925
,-32.1338,15.33798,-18.66716,0.435968905
,-34.6279,15.07684,-18.91082,0.468626915
,-36.8139,14.87475,-19.04642,0.502819647
,-38.466,14.70461,-19.08284,0.534283077
,-39.8941,14.51629,-19.0835,0.569917847
,-40.76,14.37184,-19.06046,0.600000237
,-41.483,14.21993,-18.97718,0.635531217
,-41.9437,14.09414,-18.82839,0.666748307
,-42.4043,13.91909,-18.50439,0.702218007
,-42.8121,13.68797,-17.99454,0.733624117
,-43.2698,13.2541,-16.95223,0.768784757
,-43.6012,12.66183,-15.42501,0.800375607
,-43.744,11.794,-13.08975,0.834956047
,-43.5931,10.83458,-10.49005,0.870634997
,-43.2054,10.00576,-8.25733,0.901412177
,-42.5911,9.1278,-5.95874,0.933511947
,-41.7073,8.13955,-3.51035,0.967843497
,-40.5228,7.0373,-0.9412,1.003659307
,-39.2482,6.0209,1.2157,1.034773197
,-37.5031,4.8465,3.477,1.070173327
,-35.7395,3.8479,5.233,1.100597537
,-33.4437,2.7343,7.0126,1.136691047
,-31.3875,1.8571,8.2827,1.166715847
,-28.9542,0.9038,9.5279,1.201932637
,-26.8079,0.1081,10.4194,1.233376957
,-24.498,-0.7279,11.1947,1.268418417
,-22.2856,-1.4979,11.7662,1.303333017
,-20.3038,-2.1318,12.1365,1.335760387
,-18.4943,-2.6394,12.3649,1.367163087
,-16.6695,-3.0665,12.4978,1.401845607
,-15.2681,-3.3429,12.5449,1.433526547
,-14.0542,-3.5587,12.5518,1.468936367
,-13.2951,-3.694,12.5438,1.500376397
,-12.7681,-3.7966,12.5246,1.534647237
,-12.4513,-3.8671,12.5026,1.569690417
,-12.2944,-3.9071,12.4863,1.601071447
,-12.2024,-3.9338,12.4731,1.636321907
,-12.1546,-3.9493,12.4638,1.667777337
,-12.1259,-3.9593,12.4563,1.703109317
,-12.1127,-3.9641,12.4515,1.734744667
,-12.1019,-3.9682,12.4465,1.770399967
,-12.0933,-3.9713,12.4414,1.801646137
,-12.0846,-3.9739,12.4354,1.835299447
,-12.0763,-3.9757,12.429,1.866771727
,-12.0667,-3.9772,12.4211,1.902520527
,-12.0575,-3.9788,12.4134,1.937003777
,-12.0486,-3.9809,12.4065,1.969701117
,-12.0403,-3.9836,12.4005,2.000814707
,-12.0309,-3.9874,12.3941,2.036498227
,-12.0232,-3.9912,12.3886,2.067420247
,-12.0152,-3.9957,12.3825,2.102779037
,-12.0089,-4,12.3771,2.134213667
,-12.0037,-4.0047,12.3712,2.169366887
,-12.0014,-4.0084,12.3663,2.200658117
,-12.0019,-4.0124,12.3599,2.235705557
,-12.0074,-4.0161,12.3526,2.271088297
,-12.0234,-4.0219,12.3408,2.302684587
,-12.0847,-4.0422,12.3055,2.336741307
,-12.2656,-4.1028,12.2172,2.369044077
,-12.6905,-4.2473,12.0348,2.403198307
,-13.3691,-4.4828,11.7663,2.435023227
,-14.3636,-4.8315,11.3902,2.469878507
,-15.4303,-5.1956,11.002,2.501393247
,-16.7751,-5.624,10.5303,2.537013767
,-18.0801,-5.9953,10.0873,2.568365427
,-19.7448,-6.4138,9.5355,2.603419447
,-21.5098,-6.8621,8.9446,2.635043667
,-23.8002,-7.5565,8.1399,2.669413147
,-26.4417,-8.5357,7.1365,2.700851197
,-30.1928,-10.1553,5.5917,2.736099367
,-34.3645,-12.149,3.7552,2.767654307
,-40.0848,-15.0008,1.1637,2.803184167
,-45.6714,-17.7316,-1.26224,2.833851297
,-52.1051,-20.6502,-3.66404,2.869863267
,-56.9521,-22.5955,-4.95242,2.900468827
,-61.5243,-24.1356,-5.45643,2.935831017
,-64.3052,-24.8027,-5.14961,2.967779387
,-66.0303,-25.0091,-4.36427,3.001452357
,-67.0407,-24.9811,-3.48518,3.033341127
,-67.7108,-24.7936,-2.72239,3.068813107
,-68.155,-24.5519,-2.23389,3.100447597
,-68.6275,-24.2279,-1.81301,3.135946377
,-69.0589,-23.9012,-1.51253,3.167045167
,-69.5419,-23.4901,-1.2324,3.201174877
,-70.0062,-23.0096,-0.9895,3.236608647
,-70.3419,-22.5711,-0.8285,3.268185537
,-70.6016,-22.1466,-0.7168,3.300599207
,-70.7938,-21.7423,-0.6359,3.335881887
,-70.9058,-21.4252,-0.5825,3.367356137
,-70.9799,-21.111,-0.5346,3.401708217
,-71.0213,-20.7916,-0.4811,3.436633087
,-71.0342,-20.4529,-0.4154,3.469044477
,-71.0143,-20.0655,-0.3384,3.503466127
,-70.9235,-19.6704,-0.2642,3.534238457
,-70.5769,-18.9896,-0.1258,3.570499017
,-69.8518,-18.0905,0.1018,3.601224607
,-68.3276,-16.6335,0.5274,3.636816317
,-66.1771,-14.883,1.045,3.668639247
,-62.9408,-12.5101,1.7164,3.703007867
,-59.345,-10.0127,2.3858,3.734380337
,-54.847,-7.0643,3.1467,3.769674117
,-50.7455,-4.6452,3.794,3.800381727
,-45.7771,-2.1551,4.5623,3.836781427
,-41.445,-0.3962,5.2067,3.868243427
,-36.8011,1.1714,5.8741,3.902389947
,-32.5477,2.4085,6.4823,3.934607747
,-27.9886,3.5241,7.1131,3.969912647
,-24.0422,4.3249,7.6439,4.001293667
,-19.8634,5.0762,8.1926,4.035441907
,-16.308,5.7081,8.6494,4.067121737
,-12.5962,6.3882,9.1122,4.102982887
,-9.62086,6.9346,9.4691,4.134171467
,-6.50087,7.5013,9.8279,4.169494337
,-3.94291,7.9689,10.1227,4.201063257
,-1.405,8.42655,10.4097,4.234516407
,0.926978,8.83096,10.6587,4.267022727
,3.24528,9.20815,10.9128,4.302143457
,5.12513,9.48824,11.1341,4.333996037
,6.93703,9.72825,11.3525,4.369417257
,8.24499,9.87078,11.5086,4.400064717
,9.39762,9.96007,11.6428,4.435099347
,10.1967,9.98378,11.7314,4.470027037
,10.6526,9.9765,11.7783,4.501778127
,10.9431,9.95322,11.8044,4.533419177
,11.1541,9.92355,11.8213,4.568800777
,11.301,9.89778,11.833,4.603442827
,11.4195,9.87723,11.844,4.635006607
,11.5532,9.85717,11.8591,4.670328597
,11.6863,9.83923,11.8795,4.702375907
,11.8244,9.82188,11.9101,4.733661997
,11.9734,9.80204,11.9537,4.768168047
,12.1094,9.77897,11.9989,4.803122567
,12.2104,9.75637,12.0324,4.835229467
,12.286,9.73479,12.0556,4.866715697
,12.3497,9.71139,12.0725,4.901969837
,12.3984,9.68882,12.0829,4.936448227
,12.4347,9.66835,12.0894,4.968031957
,12.469,9.6455,12.095,5.003294667
,12.4982,9.62386,12.0996,5.034935707
,12.5364,9.59561,12.1058,5.069885937
,12.591,9.56278,12.1151,5.101354187
,12.7641,9.50181,12.1481,5.135685167
,13.2418,9.42792,12.2555,5.167263777
,14.3858,9.40417,12.584,5.202683867
,15.8652,9.51272,13.0967,5.234357117
,18.1007,9.80536,13.9204,5.269522047
,20.9262,10.15138,14.9558,5.303857887
,24.313,10.42159,16.1462,5.335814837
,28.6886,10.64119,17.5017,5.370540127
,33.1549,10.78466,18.5962,5.401751227
,38.5244,10.81749,19.5955,5.436895047
,43.4216,10.69701,20.3474,5.468168867
,48.8855,10.4179,21.1054,5.503793657
,53.5819,10.10441,21.6764,5.534675747
,58.5887,9.71104,22.1987,5.570076417
,62.6241,9.34241,22.5055,5.601492517
,66.5615,8.9313,22.6466,5.636985577
,69.4913,8.57315,22.6358,5.668321837
,72.1078,8.20342,22.5134,5.703709137
,73.911,7.9336,22.3551,5.734350597
,75.5451,7.69,22.1489,5.770094828
,76.4709,7.5487,21.9811,5.801157408
,77.0657,7.4499,21.8279,5.836132168
,77.3405,7.393,21.7258,5.868580328
,77.496,7.3473,21.642,5.902867688
,77.5757,7.3148,21.5798,5.934033188
,77.6318,7.2841,21.5131,5.969487198
,77.6622,7.2569,21.4545,6.001054118
,77.675,7.2174,21.3821,6.036334788
,77.6509,7.1585,21.288,6.066856508
,77.49,7.0152,21.0551,6.102723618
,77.1558,6.8105,20.7109,6.137394168
,76.7908,6.6165,20.4038,6.169076258
,76.4577,6.4476,20.1577,6.200370898
,76.1217,6.2825,19.9223,6.236226618
,75.8541,6.1508,19.7428,6.267749338
,75.5611,6.0092,19.5634,6.302065788
,75.2192,5.8636,19.3783,6.333977398
,74.5678,5.6519,19.0906,6.369207328
,73.3375,5.3567,18.6712,6.403631848
,71.3777,4.9616,18.1538,6.435660328
,68.5241,4.4311,17.5671,6.467016538
,64.2526,3.6521,16.9031,6.501287368
,58.777,2.6737,16.2614,6.536817508
,53.3255,1.7727,15.7621,6.568168038
,46.8805,0.7977,15.2948,6.603566458
,40.9634,-0.0756,14.9793,6.635599228
,34.7242,-1.0571,14.8251,6.670685758
,29.6149,-1.9622,14.9582,6.701812758
,24.3692,-3.0734,15.6544,6.737142758
,20.1654,-4.1873,16.8921,6.768327928
,15.8865,-5.6745,19.1013,6.802733888
,12.2858,-7.3889,21.9614,6.833913908
,8.5726,-9.9189,26.2498,6.869442898
,5.84569,-12.5959,30.6707,6.901097338
,3.58223,-15.5484,35.3172,6.936454708
,2.04837,-17.8004,39.0026,6.967658978
,0.61052,-19.8522,43.0025,7.002891178
,-0.47895,-21.395,46.7417,7.034286748
,-1.36759,-22.9226,50.8947,7.068751728
,-1.90443,-24.1575,54.3838,7.100274158
,-2.31782,-25.289,57.7439,7.135284828
,-2.59542,-26.1656,60.4299,7.166923028
,-2.78502,-27.1066,63.1793,7.202546108
,-2.83664,-28.0454,65.5894,7.237222358
,-2.83738,-28.8256,67.3273,7.268412068
,-2.83813,-29.5718,68.776,7.302887608
,-2.85708,-30.1641,69.8029,7.335519398
,-2.90217,-30.6519,70.5966,7.369695858
,-2.95487,-30.9914,71.137,7.401436688
,-3.00496,-31.235,71.5283,7.433749148
,-3.05112,-31.404,71.8139,7.467917628
,-3.09558,-31.5101,72.0205,7.503655608
,-3.1304,-31.5476,72.1217,7.535079398
,-3.1729,-31.5522,72.1816,7.570050448
,-3.2212,-31.5366,72.2161,7.600587578
,-3.32268,-31.4794,72.2618,7.636839598
,-3.48607,-31.3672,72.3164,7.668838148
,-3.7367,-31.1808,72.3757,7.702556748
,-4.0348,-30.9555,72.421,7.734742338
,-4.39943,-30.6846,72.4416,7.770049528
,-4.74581,-30.4354,72.4241,7.801596488
,-5.16647,-30.1444,72.3211,7.836727758
,-5.60155,-29.8516,72.1246,7.868042358
,-6.18347,-29.4653,71.7454,7.903378328
,-6.78862,-29.0692,71.247,7.934747098
,-7.58136,-28.5656,70.4898,7.970124418
,-8.37858,-28.0808,69.653,8.001606378
,-9.3244,-27.5228,68.5872,8.036644988
,-10.2329,-27.0005,67.5047,8.067770558
,-11.3154,-26.3909,66.147,8.103222568
,-12.2713,-25.8533,64.8517,8.134028248
,-13.3425,-25.2186,63.2097,8.169393588
,-14.2695,-24.6074,61.5762,8.201011538
,-15.3054,-23.8451,59.5294,8.236236608
,-16.2094,-23.1222,57.5943,8.267014638
,-17.2568,-22.2224,55.2131,8.302440718
,-18.181,-21.3312,52.961,8.333588828
,-19.172,-20.1453,50.3756,8.368701868
,-20.0114,-18.8923,48.1093,8.400044698
,-20.9594,-17.3243,45.6177,8.436137628
,-21.7806,-15.9964,43.5737,8.466727488
,-22.7782,-14.5604,41.2731,8.502215708
,-23.7167,-13.4226,39.33,8.533441628
,-24.8179,-12.3268,37.3143,8.568356808
,-25.8972,-11.4531,35.5743,8.600500758
,-27.1312,-10.6437,33.8291,8.635576148
,-28.3326,-9.9853,32.3062,8.667043838
,-29.8824,-9.163,30.3074,8.702216168
,-31.6373,-8.1965,27.8472,8.736062488
,-33.5002,-7.1539,25.0817,8.768934888
,-35.5116,-6.0607,22.0642,8.803004718
,-37.4111,-5.1151,19.2998,8.834641478
